Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Flat-Bet,235,100,0,-239,-7.967,21.482,,,
Low_Risk:Flat-Bet,236,100,0,-212,-7.067,36.754,,,
Low_Risk:Flat-Bet,237,100,0,-184,-6.133,15.499,,,
Low_Risk:Flat-Bet,238,100,0,-200,-6.667,28.92,,,
Low_Risk:Flat-Bet,239,100,0,-173,-5.767,24.806,,,
Low_Risk:Flat-Bet,240,100,0,-236,-7.867,20.257,,,
Low_Risk:Flat-Bet,241,100,0,-227,-7.567,34.323,,,
Low_Risk:Flat-Bet,242,100,0,-177,-5.9,15.541,,,
Low_Risk:Flat-Bet,243,100,0,-184,-6.133,10.189,,,
Low_Risk:Flat-Bet,244,100,0,-171,-5.7,31.459,,,
Low_Risk:Flat-Bet,245,100,0,-267,-8.9,21.679,,,
Low_Risk:Flat-Bet,246,100,0,-179,-5.967,45.206,,,
Low_Risk:Flat-Bet,247,100,0,-218,-7.267,39.926,,,
Low_Risk:Flat-Bet,248,100,0,-185,-6.167,16.902,,,
Low_Risk:Flat-Bet,249,100,0,-149,-4.967,40.309,,,
Low_Risk:Flat-Bet,250,100,0,-199,-6.633,23.826,,,
Low_Risk:Flat-Bet,251,100,0,-216,-7.2,21.476,,,
Low_Risk:Flat-Bet,252,100,0,-160,-5.333,35.954,,,
Low_Risk:Flat-Bet,253,100,0,-240,-8,24.552,,,
Low_Risk:Flat-Bet,254,100,0,-225,-7.5,34.052,,,
Low_Risk:Flat-Bet,255,100,0,-174,-5.8,26.648,,,
Low_Risk:Flat-Bet,256,100,0,-221,-7.367,38.24,,,
Low_Risk:Flat-Bet,257,100,0,-196,-6.533,22.878,,,
Low_Risk:Flat-Bet,258,100,0,-169,-5.633,37.62,,,
Low_Risk:Flat-Bet,259,100,0,-176,-5.867,17.43,,,
Low_Risk:Flat-Bet,260,100,0,-233,-7.767,33.771,,,
Low_Risk:Flat-Bet,261,100,0,-206,-6.867,26.602,,,
