Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,fibonacci mean day profit,,,fibonacci mean sum profits,
Moderate_Risk:Fibonacci,154,46.167,694.144,-1910,-63.667,14251.402,,,,,,
Moderate_Risk:Fibonacci,155,44.367,1048.102,-2027,-67.567,10457.564,,,,,,
Moderate_Risk:Fibonacci,156,53.067,1028.202,-753,-25.1,26991.059,,,,,,
Moderate_Risk:Fibonacci,157,57.033,993.689,-728,-24.267,20685.237,,,,,,
Moderate_Risk:Fibonacci,158,44.333,826.782,-2304,-76.8,8123.545,,,,,,
Moderate_Risk:Fibonacci,159,53.3,1254.01,-206,-6.867,26561.982,,,,,,
Moderate_Risk:Fibonacci,160,46.567,912.599,563,18.767,138221.151,,,,,,
Moderate_Risk:Fibonacci,161,55,1158.621,346,11.533,53422.189,,,,,,
Moderate_Risk:Fibonacci,162,46.333,866.713,-1499,-49.967,17343.344,,,,,,
Moderate_Risk:Fibonacci,163,52.333,1092.782,-296,-9.867,42521.775,,,,,,
Moderate_Risk:Fibonacci,164,50.6,935.834,-613,-20.433,27575.013,,,,,,
Moderate_Risk:Fibonacci,165,53.6,961.559,-950,-31.667,21331.609,,,,,,
Moderate_Risk:Fibonacci,166,48.1,935.197,-726,-24.2,45077.752,,,,,,
Moderate_Risk:Fibonacci,167,54.967,953.689,-936,-31.2,25973.2,,,,,,
Moderate_Risk:Fibonacci,168,46.733,1035.03,-1032,-34.4,20840.317,,,,,,
Moderate_Risk:Fibonacci,169,49.2,864.51,-855,-28.5,43029.017,,,,,,
Moderate_Risk:Fibonacci,170,43.567,778.392,-1353,-45.1,21916.852,,,,,,
Moderate_Risk:Fibonacci,171,55.6,1089.559,-31,-1.033,36851.826,,,,,,
Moderate_Risk:Fibonacci,172,49.7,961.803,-1363,-45.433,20792.599,,,,,,
Moderate_Risk:Fibonacci,173,48.6,769.903,-2568,-85.6,6220.8,,,,,,
Moderate_Risk:Fibonacci,174,38.1,590.162,-1903,-63.433,20805.22,,,,,,
Moderate_Risk:Fibonacci,175,50.267,1184.754,-10,-0.333,36302.161,,,,,,
Moderate_Risk:Fibonacci,176,53.067,1159.995,-772,-25.733,24952.616,,,,,,
Moderate_Risk:Fibonacci,177,43.467,818.257,-1194,-39.8,38411.614,,,,,,
Moderate_Risk:Fibonacci,178,49.767,703.357,-1623,-54.1,40868.024,,,,,,
Moderate_Risk:Fibonacci,179,55.2,1016.648,612,20.4,53990.317,,,,,,
Moderate_Risk:Fibonacci,180,55.533,971.637,-1218,-40.6,26733.283,,,,,,
Moderate_Risk:Fibonacci,181,44.9,1091.334,-1502,-50.067,12973.306,,,,,,
Moderate_Risk:Fibonacci,182,53.067,1083.306,-221,-7.367,33679.826,,,,,,
Moderate_Risk:Fibonacci,183,53.367,1062.93,-623,-20.767,24998.944,,,,,,
Moderate_Risk:Fibonacci,184,52.267,1066.064,2251,75.033,442033.689,,,,,,
Moderate_Risk:Fibonacci,185,46.833,1095.316,-922,-30.733,26545.513,,,,,,
Moderate_Risk:Fibonacci,186,53.5,987.983,602,20.067,108458.754,,,,,,
Moderate_Risk:Fibonacci,187,59.167,966.764,-36,-1.2,59754.648,,,,,,
Moderate_Risk:Fibonacci,188,57.533,1013.913,1635,54.5,436335.362,,,,,,
Moderate_Risk:Fibonacci,189,52.3,961.252,-820,-27.333,34087.954,,,,,,
Moderate_Risk:Fibonacci,190,51.333,998.368,-1112,-37.067,18380.616,,,,,,
Moderate_Risk:Fibonacci,191,44.033,976.999,-1612,-53.733,14833.651,,,,,,
Moderate_Risk:Fibonacci,192,58.7,1100.01,-259,-8.633,40025.206,,,,,,
Moderate_Risk:Fibonacci,193,55,1078.69,1096,36.533,94753.499,,,,,,
Moderate_Risk:Fibonacci,194,54.3,1095.459,14,0.467,57218.602,,,,,,
Moderate_Risk:Fibonacci,195,49.833,1017.868,-185,-6.167,49722.557,,,,,,
Moderate_Risk:Fibonacci,196,47.533,1089.361,15,0.5,50029.086,,,,,,
Moderate_Risk:Fibonacci,197,51.467,1126.464,881,29.367,89370.102,,,,,,
Moderate_Risk:Fibonacci,198,51.967,1118.033,-1125,-37.5,18183.707,,,,,,
Moderate_Risk:Fibonacci,199,49.7,914.838,-1326,-44.2,21251.407,,,,,,
Moderate_Risk:Fibonacci,200,43.6,719.628,-2084,-69.467,8833.292,,,,,,
Moderate_Risk:Fibonacci,201,52.933,831.03,-1850,-61.667,10266.299,,,,,,
Moderate_Risk:Fibonacci,202,52.033,1060.861,-677,-22.567,34527.357,,,,,,
Moderate_Risk:Fibonacci,203,50.8,1092.303,-93,-3.1,43463.334,,,,,,
Moderate_Risk:Fibonacci,204,46.4,708.662,-1541,-51.367,50779.482,,,,,,
Moderate_Risk:Fibonacci,205,57.767,889.082,-999,-33.3,24156.217,,,,,,
Moderate_Risk:Fibonacci,206,57.933,739.857,407,13.567,79477.151,,,,,,
Moderate_Risk:Fibonacci,207,43.4,638.248,-1808,-60.267,15414.202,,,,,,
Moderate_Risk:Fibonacci,208,54.5,822.534,-1361,-45.367,29159.826,,,,,,
Moderate_Risk:Fibonacci,209,58.667,996.644,-832,-27.733,30141.444,,,,,,
Moderate_Risk:Fibonacci,210,46.067,864.685,-1761,-58.7,11713.941,,,,,,
Moderate_Risk:Fibonacci,211,44.733,1158.202,-1769,-58.967,12044.24,,,,,,
Moderate_Risk:Fibonacci,212,48.467,1047.154,-1511,-50.367,18360.999,,,,,,
